threshold,review_rate,policy_accuracy,ai_only_accuracy,accuracy_gain
0.255,0.8620689655172413,1.0,0.7758620689655172,0.22413793103448276
0.26,0.8448275862068966,1.0,0.7758620689655172,0.22413793103448276
0.265,0.8362068965517241,1.0,0.7758620689655172,0.22413793103448276
0.27,0.8362068965517241,1.0,0.7758620689655172,0.22413793103448276
0.275,0.8362068965517241,1.0,0.7758620689655172,0.22413793103448276
0.28,0.8275862068965517,1.0,0.7758620689655172,0.22413793103448276
0.28500000000000003,0.8275862068965517,1.0,0.7758620689655172,0.22413793103448276
0.29,0.7931034482758621,1.0,0.7758620689655172,0.22413793103448276
0.295,0.7844827586206896,1.0,0.7758620689655172,0.22413793103448276
0.3,0.7758620689655172,1.0,0.7758620689655172,0.22413793103448276
0.305,0.7758620689655172,1.0,0.7758620689655172,0.22413793103448276
0.31,0.7672413793103449,0.9913793103448276,0.7758620689655172,0.2155172413793104
0.315,0.7672413793103449,0.9913793103448276,0.7758620689655172,0.2155172413793104
0.32,0.7586206896551724,0.9913793103448276,0.7758620689655172,0.2155172413793104
0.325,0.7327586206896551,0.9827586206896551,0.7758620689655172,0.2068965517241379
0.33,0.7241379310344828,0.9827586206896551,0.7758620689655172,0.2068965517241379
0.335,0.6982758620689655,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.34,0.6982758620689655,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.34500000000000003,0.6896551724137931,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.35000000000000003,0.6896551724137931,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.355,0.6810344827586207,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.36,0.6810344827586207,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.365,0.6724137931034483,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.37,0.6637931034482759,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.375,0.6551724137931034,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.38,0.6551724137931034,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.385,0.646551724137931,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.39,0.646551724137931,0.9741379310344828,0.7758620689655172,0.19827586206896552
0.395,0.6379310344827587,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.4,0.6379310344827587,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.405,0.6206896551724138,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.41000000000000003,0.6120689655172413,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.41500000000000004,0.5948275862068966,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.42,0.5948275862068966,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.425,0.5948275862068966,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.43,0.5689655172413793,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.435,0.5603448275862069,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.44,0.5603448275862069,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.445,0.5603448275862069,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.45,0.5603448275862069,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.455,0.5431034482758621,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.46,0.5431034482758621,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.465,0.5344827586206896,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.47000000000000003,0.5172413793103449,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.47500000000000003,0.5172413793103449,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.48,0.5086206896551724,0.9655172413793104,0.7758620689655172,0.18965517241379315
0.485,0.49137931034482757,0.9568965517241379,0.7758620689655172,0.18103448275862066
0.49,0.47413793103448276,0.9568965517241379,0.7758620689655172,0.18103448275862066
0.495,0.46551724137931033,0.9482758620689655,0.7758620689655172,0.1724137931034483
0.5,0.4482758620689655,0.9396551724137931,0.7758620689655172,0.1637931034482759
0.505,0.4396551724137931,0.9396551724137931,0.7758620689655172,0.1637931034482759
0.51,0.4224137931034483,0.9396551724137931,0.7758620689655172,0.1637931034482759
0.515,0.41379310344827586,0.9396551724137931,0.7758620689655172,0.1637931034482759
0.52,0.3879310344827586,0.9224137931034483,0.7758620689655172,0.14655172413793105
0.525,0.3793103448275862,0.9224137931034483,0.7758620689655172,0.14655172413793105
0.53,0.3793103448275862,0.9224137931034483,0.7758620689655172,0.14655172413793105
0.535,0.3793103448275862,0.9224137931034483,0.7758620689655172,0.14655172413793105
0.54,0.3706896551724138,0.9224137931034483,0.7758620689655172,0.14655172413793105
0.545,0.3706896551724138,0.9224137931034483,0.7758620689655172,0.14655172413793105
0.55,0.3620689655172414,0.9137931034482759,0.7758620689655172,0.13793103448275867
0.555,0.3620689655172414,0.9137931034482759,0.7758620689655172,0.13793103448275867
0.56,0.35344827586206895,0.9137931034482759,0.7758620689655172,0.13793103448275867
0.5650000000000001,0.3448275862068966,0.9051724137931034,0.7758620689655172,0.1293103448275862
0.5700000000000001,0.33620689655172414,0.9051724137931034,0.7758620689655172,0.1293103448275862
0.5750000000000001,0.31896551724137934,0.9051724137931034,0.7758620689655172,0.1293103448275862
0.58,0.31896551724137934,0.9051724137931034,0.7758620689655172,0.1293103448275862
0.585,0.3017241379310345,0.896551724137931,0.7758620689655172,0.12068965517241381
0.59,0.29310344827586204,0.896551724137931,0.7758620689655172,0.12068965517241381
0.595,0.27586206896551724,0.8879310344827587,0.7758620689655172,0.11206896551724144
0.6,0.2672413793103448,0.8879310344827587,0.7758620689655172,0.11206896551724144
0.605,0.25862068965517243,0.8793103448275862,0.7758620689655172,0.10344827586206895
0.61,0.25,0.8706896551724138,0.7758620689655172,0.09482758620689657
